"","title","author","journal","number","cites","year","cid","pubid"
"1","Differences in speed and duration of bird migration between spring and autumn","Cecilia Nilsson, Raymond HG Klaassen, Thomas Alerstam","The American Naturalist","181 (6), 837-845",213,2013,"7384659703888726586","qjMakFHDy7sC"
"2","Convergent patterns of long-distance nocturnal migration in noctuid moths and passerine birds","Thomas Alerstam, Jason W Chapman, Johan Bäckman, Alan D Smith, Håkan Karlsson, Cecilia Nilsson, Don R Reynolds, Raymond HG Klaassen, Jane K Hill","Proceedings of the Royal Society B: Biological Sciences","278 (1721), 3074-3080",101,2011,"1699455582310313169","u-x6o8ySG0sC"
"3","Seasonal modulation of flight speed among nocturnal passerine migrants: differences between short-and long-distance migrants","Cecilia Nilsson, Johan Bäckman, Thomas Alerstam","Behavioral Ecology and Sociobiology","68 (11), 1799-1807",42,2014,"5979299244616096655","UeHWp8X0CEIC"
"4","Nocturnal passerine migrants fly faster in spring than in autumn: a test of the time minimization hypothesis","Håkan Karlsson, Cecilia Nilsson, Johan Bäckman, Thomas Alerstam","Animal Behaviour","",42,2011,"15384761162737791437","d1gkVwhDpl0C"
"5","Nocturnal passerine migration without tailwind assistance","Håkan Karlsson, Cecilia Nilsson, Johan Bäckman, Thomas Alerstam","Ibis","",41,2011,"8436382475686696097","u5HHmVD_uO8C"
"6","Adaptive strategies in nocturnally migrating insects and songbirds: contrasting responses to wind","Jason W Chapman, Cecilia Nilsson, Ka S Lim, Johan Bäckman, Don R Reynolds, Thomas Alerstam","Journal of Animal Ecology","85 (1), 115-124",38,2016,"13592666335659850699","zYLM7Y9cAGgC"
"7","Revealing patterns of nocturnal migration using the European weather radar network","Cecilia Nilsson, Adriaan M Dokter, Liesbeth Verlinden, Judy Shamoun‐Baranes, Baptiste Schmid, Peter Desmet, Silke Bauer, Jason Chapman, Jose A Alves, Phillip M Stepanian, Nir Sapir, Charlotte Wainwright, Mathieu Boos, Anna Górska, Myles HM Menz, Pedro Rodrigues, Hidde Leijnse, Pavel Zehtindjiev, Robin Brabant, Günther Haase, Nadja Weisshaupt, Michał Ciach, Felix Liechti","Ecography","42 (5), 876-886",24,2019,"3460015636627210148","LkGwnXOMwfcC"
"8","Field validation of radar systems for monitoring bird migration","Cecilia Nilsson, Adriaan M Dokter, Baptiste Schmid, Martina Scacco, Liesbeth Verlinden, Johan Bäckman, Günther Haase, Giacomo Dell’Omo, Jason W Chapman, Hidde Leijnse, Felix Liechti","Journal of Applied Ecology","55 (6), 2552-2564",23,2018,"7346535824470603859","_FxGoFyzp5QC"
"9","Causes and characteristics of reverse bird migration: an analysis based on radar, radio tracking and ringing at Falsterbo, Sweden","Cecilia Nilsson, Sissel Sjöberg","Journal of Avian Biology","47 (3), 354-362",22,2016,"17930220877864549571","WF5omc3nYNoC"
"10","The grand challenges of migration ecology that radar aeroecology can help answer","Silke Bauer, Judy Shamoun‐Baranes, Cecilia Nilsson, Andrew Farnsworth, Jeffrey F Kelly, Don R Reynolds, Adriaan M Dokter, Jennifer F Krauel, Lars B Petterson, Kyle G Horton, Jason W Chapman","Ecography","42 (5), 861-875",21,2019,"16280651298049201304","Se3iqnhoufwC"
